codigo_cnae,descricao_cnae,secao,divisao,grupo,classe
0111301,,A,01,,
0111302,,A,01,,
0111303,,A,01,,
0111399,,A,01,,
0112101,,A,01,,
0112102,,A,01,,
0112199,,A,01,,
0113000,,A,01,,
0114800,,A,01,,
0115600,,A,01,,
0116401,,A,01,,
0116402,,A,01,,
0116403,,A,01,,
0116499,,A,01,,
0119901,,A,01,,
0119902,,A,01,,
0119903,,A,01,,
0119904,,A,01,,
0119905,,A,01,,
0119906,,A,01,,
0119907,,A,01,,
0119908,,A,01,,
0119909,,A,01,,
0119999,,A,01,,
0121101,,A,01,,
0121102,,A,01,,
0122900,,A,01,,
0131800,,A,01,,
0132600,,A,01,,
0133401,,A,01,,
0133402,,A,01,,
0133403,,A,01,,
0133404,,A,01,,
0133405,,A,01,,
0133406,,A,01,,
0133407,,A,01,,
0133408,,A,01,,
0133409,,A,01,,
0133410,,A,01,,
0133411,,A,01,,
0133499,,A,01,,
0134200,,A,01,,
0135100,,A,01,,
0139301,,A,01,,
0139302,,A,01,,
0139303,,A,01,,
0139304,,A,01,,
0139305,,A,01,,
0139306,,A,01,,
0139399,,A,01,,
0141501,,A,01,,
0141502,,A,01,,
0142300,,A,01,,
0151201,,A,01,,
0151202,,A,01,,
0151203,,A,01,,
0152101,,A,01,,
0152102,,A,01,,
0152103,,A,01,,
0153901,,A,01,,
0153902,,A,01,,
0154700,,A,01,,
0155501,,A,01,,
0155502,,A,01,,
0155503,,A,01,,
0155504,,A,01,,
0155505,,A,01,,
0159801,,A,01,,
0159802,,A,01,,
0159803,,A,01,,
0159804,,A,01,,
0159899,,A,01,,
0161001,,A,01,,
0161002,,A,01,,
0161003,,A,01,,
0161099,,A,01,,
0162801,,A,01,,
0162802,,A,01,,
0162803,,A,01,,
0162899,,A,01,,
0163600,,A,01,,
0170900,,A,01,,
0210101,,A,02,,
0210102,,A,02,,
0210103,,A,02,,
0210104,,A,02,,
0210105,,A,02,,
0210106,,A,02,,
0210107,,A,02,,
0210108,,A,02,,
0210109,,A,02,,
0210199,,A,02,,
0220901,,A,02,,
0220902,,A,02,,
0220903,,A,02,,
0220904,,A,02,,
0220905,,A,02,,
0220906,,A,02,,
0220999,,A,02,,
0230600,,A,02,,
0311601,,A,03,,
0311602,,A,03,,
0311603,,A,03,,
0311604,,A,03,,
0312401,,A,03,,
0312402,,A,03,,
0312403,,A,03,,
0312404,,A,03,,
0321301,,A,03,,
0321302,,A,03,,
0321303,,A,03,,
0321304,,A,03,,
0321305,,A,03,,
0321399,,A,03,,
0322101,,A,03,,
0322102,,A,03,,
0322103,,A,03,,
0322104,,A,03,,
0322105,,A,03,,
0322106,,A,03,,
0322107,,A,03,,
0322199,,A,03,,
