termo,termo_normalizado,codigo_cnae,descricao,relevancia,categoria,secao,divisao,grupo,classe,subclasse,origem,tipo
Cultivo de arroz,cultivo de arroz,0111301,Cultivo de arroz,100,atividades,A,01,011,0111,0111301,descrição oficial,nome_oficial
Cultivo,cultivo,0111301,Cultivo de arroz,85,cultivo,A,01,011,0111,0111301,atividade agrícola,produto
Cultivo,cultivo,0111301,Cultivo de arroz,85,cultivo,A,01,011,0111,0111301,atividade agrícola,produto
Arroz,arroz,0111301,Cultivo de arroz,85,arroz,A,01,011,0111,0111301,classificação semântica,atividade
Arroz,arroz,0111301,Cultivo de arroz,85,arroz,A,01,011,0111,0111301,classificação semântica,atividade
Cultivo de arroz,cultivo de arroz,0111301,Cultivo de arroz,90,descricao_completa,A,01,011,0111,0111301,classificação semântica,palavra_chave
Cultivo de milho,cultivo de milho,0111302,Cultivo de milho,100,atividades,A,01,011,0111,0111302,descrição oficial,nome_oficial
Cultivo,cultivo,0111302,Cultivo de milho,85,cultivo,A,01,011,0111,0111302,atividade agrícola,produto
Cultivo,cultivo,0111302,Cultivo de milho,85,cultivo,A,01,011,0111,0111302,atividade agrícola,produto
Milho,milho,0111302,Cultivo de milho,85,milho,A,01,011,0111,0111302,classificação semântica,atividade
Milho,milho,0111302,Cultivo de milho,85,milho,A,01,011,0111,0111302,classificação semântica,atividade
Cultivo de milho,cultivo de milho,0111302,Cultivo de milho,90,descricao_completa,A,01,011,0111,0111302,classificação semântica,palavra_chave
Cultivo de trigo,cultivo de trigo,0111303,Cultivo de trigo,100,atividades,A,01,011,0111,0111303,descrição oficial,nome_oficial
Cultivo,cultivo,0111303,Cultivo de trigo,85,cultivo,A,01,011,0111,0111303,atividade agrícola,produto
Cultivo,cultivo,0111303,Cultivo de trigo,85,cultivo,A,01,011,0111,0111303,atividade agrícola,produto
Trigo,trigo,0111303,Cultivo de trigo,85,trigo,A,01,011,0111,0111303,classificação semântica,atividade
Trigo,trigo,0111303,Cultivo de trigo,85,trigo,A,01,011,0111,0111303,classificação semântica,atividade
Cultivo de trigo,cultivo de trigo,0111303,Cultivo de trigo,90,descricao_completa,A,01,011,0111,0111303,classificação semântica,palavra_chave
Cultivo de outros cereais não especificados anteriormente,cultivo de outros cereais não especificados anteriormente,0111399,Cultivo de outros cereais não especificados anteriormente,100,atividades,A,01,011,0111,0111399,descrição oficial,nome_oficial
Cultivo,cultivo,0111399,Cultivo de outros cereais não especificados anteriormente,85,cultivo,A,01,011,0111,0111399,atividade agrícola,produto
