termo,codigo_cnae,descricao_cnae,secao,divisao,grupo,classe,tipo,relevancia,data_criacao
Cultivo de arroz,0111301,,A,01,,,nome_oficial,100,
Cultivo,0111301,,A,01,,,produto,85,
Cultivo,0111301,,A,01,,,produto,85,
Arroz,0111301,,A,01,,,atividade,85,
Arroz,0111301,,A,01,,,atividade,85,
Cultivo de arroz,0111301,,A,01,,,palavra_chave,90,
Cultivo de milho,0111302,,A,01,,,nome_oficial,100,
Cultivo,0111302,,A,01,,,produto,85,
Cultivo,0111302,,A,01,,,produto,85,
Milho,0111302,,A,01,,,atividade,85,
Milho,0111302,,A,01,,,atividade,85,
Cultivo de milho,0111302,,A,01,,,palavra_chave,90,
Cultivo de trigo,0111303,,A,01,,,nome_oficial,100,
Cultivo,0111303,,A,01,,,produto,85,
Cultivo,0111303,,A,01,,,produto,85,
Trigo,0111303,,A,01,,,atividade,85,
Trigo,0111303,,A,01,,,atividade,85,
Cultivo de trigo,0111303,,A,01,,,palavra_chave,90,
Cultivo de outros cereais não especificados anteriormente,0111399,,A,01,,,nome_oficial,100,
Cultivo,0111399,,A,01,,,produto,85,
Cultivo,0111399,,A,01,,,produto,85,
Outros,0111399,,A,01,,,atividade,85,
Outros,0111399,,A,01,,,atividade,85,
Cereais,0111399,,A,01,,,atividade,85,
Cereais,0111399,,A,01,,,atividade,85,
Especificados,0111399,,A,01,,,atividade,85,
Especificados,0111399,,A,01,,,atividade,85,
Cultivo de outros cereais não especificados anteriormente,0111399,,A,01,,,palavra_chave,90,
Cultivo de algodão herbáceo,0112101,,A,01,,,nome_oficial,100,
Cultivo,0112101,,A,01,,,produto,85,
Cultivo,0112101,,A,01,,,produto,85,
Algodão,0112101,,A,01,,,atividade,85,
Algodao,0112101,,A,01,,,atividade,85,
Herbáceo,0112101,,A,01,,,atividade,85,
Herbaceo,0112101,,A,01,,,atividade,85,
Cultivo de algodão herbáceo,0112101,,A,01,,,palavra_chave,90,
Cultivo de juta,0112102,,A,01,,,nome_oficial,100,
Cultivo,0112102,,A,01,,,produto,85,
Cultivo,0112102,,A,01,,,produto,85,
Juta,0112102,,A,01,,,atividade,85,
Juta,0112102,,A,01,,,atividade,85,
Cultivo de juta,0112102,,A,01,,,palavra_chave,90,
Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,0112199,,A,01,,,nome_oficial,100,
Cultivo,0112199,,A,01,,,produto,85,
Cultivo,0112199,,A,01,,,produto,85,
