sinonimo,codigo_cnae,descricao_cnae,termo_original,relevancia
mineração,0600004,Extração de areia betuminosa e asfalto natural,,70
lavra,0600004,Extração de areia betuminosa e asfalto natural,,70
mineração,0729401,Extração de minérios de nióbio e titânio,,70
lavra,0729401,Extração de minérios de nióbio e titânio,,70
mineração,0729402,Extração de minério de tungstênio,,70
lavra,0729402,Extração de minério de tungstênio,,70
mineração,0729403,Extração de minério de níquel,,70
lavra,0729403,Extração de minério de níquel,,70
mineração,0729404,"Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente",,70
lavra,0729404,"Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente",,70
produção,1622699,Fabricação de outros artefatos e peças de madeira para uso na construção,,70
manufatura,1622699,Fabricação de outros artefatos e peças de madeira para uso na construção,,70
produção,1722201,Fabricação de fraldas descartáveis,,70
manufatura,1722201,Fabricação de fraldas descartáveis,,70
produção,1722202,Fabricação de absorventes higiênicos,,70
manufatura,1722202,Fabricação de absorventes higiênicos,,70
produção,1722299,Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente,,70
manufatura,1722299,Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente,,70
produção,1733801,Fabricação de chapas de fibra de madeira prensada - MDF,,70
manufatura,1733801,Fabricação de chapas de fibra de madeira prensada - MDF,,70
produção,1733802,Fabricação de chapas de fibra de madeira prensada - demais,,70
manufatura,1733802,Fabricação de chapas de fibra de madeira prensada - demais,,70
produção,2034700,Fabricação de fibras artificiais e sintéticas,,70
manufatura,2034700,Fabricação de fibras artificiais e sintéticas,,70
produção,2212900,Fabricação de embalagens de material plástico,,70
manufatura,2212900,Fabricação de embalagens de material plástico,,70
produção,2219600,Fabricação de artefatos de material plástico para outros usos,,70
manufatura,2219600,Fabricação de artefatos de material plástico para outros usos,,70
produção,2229301,Fabricação de artefatos de borracha para uso industrial,,70
manufatura,2229301,Fabricação de artefatos de borracha para uso industrial,,70
produção,2229302,Fabricação de artefatos de plástico para outros usos,,70
manufatura,2229302,Fabricação de artefatos de plástico para outros usos,,70
produção,2330399,"Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",,70
manufatura,2330399,"Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",,70
produção,2341900,Fabricação de produtos cerâmicos refratários,,70
manufatura,2341900,Fabricação de produtos cerâmicos refratários,,70
produção,2342701,Fabricação de azulejos e pisos,,70
manufatura,2342701,Fabricação de azulejos e pisos,,70
